url,srcFileName,ignoredMappings,ignoredElements,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN
https://github.com/spring-projects/spring-boot/commit/20d39f7af2165c67d5221f556f58820c992d2cc6,spring-boot.src.main.json.org.springframework.boot.cloudfoundry.VcapApplicationListener.json,96,13,144,48,0,0,15,2,0,0,138,42,9,6,15,2,0,0,140,44,4,4,15,2,0,0
https://github.com/languagetool-org/languagetool/commit/01cddc5afb590b4d36cb784637a8ea8aa31d3561,languagetool-gui-commons.src.main.json.org.languagetool.gui.ConfigurationDialog.json,323,41,461,138,0,0,43,2,0,0,428,105,25,33,42,1,0,1,436,113,23,25,43,2,0,0
https://github.com/processing/processing/commit/8707194f003444a9fb8e00bffa2893ef0c2492c6,core.src.processing.opengl.PSurfaceJOGL.json,621,84,751,130,0,0,90,6,0,0,737,116,4,14,89,5,0,1,738,117,3,13,89,5,0,1
https://github.com/liferay/liferay-plugins/commit/d99695841fa675ea9150602b1132f037093e867d,portlets.marketplace-portlet.docroot.WEB-INF.src.com.liferay.marketplace.store.portlet.RemoteMVCPortlet.json,26,2,76,50,0,0,5,3,0,0,68,42,8,8,4,2,1,1,66,40,8,10,4,2,1,1
https://github.com/apache/hive/commit/999e0e3616525d77cf46c5865f9981b5a6b5609a,ql.src.json.org.apache.hadoop.hive.ql.parse.CalcitePlanner.json,1879,84,1981,102,0,0,88,4,0,0,1959,80,46,22,87,3,1,1,1963,84,13,18,87,3,1,1
https://github.com/apache/hive/commit/4ccc0c37aabbd90ecaa36fcc491e2270e7e9bea6,hcatalog.core.src.main.json.org.apache.hive.hcatalog.mapreduce.PartInfo.json,74,24,149,75,0,0,27,3,0,0,141,67,8,8,25,1,2,2,141,67,8,8,25,1,2,2
https://github.com/FasterXML/jackson-databind/commit/cfe88fe3fbcc6b02ca55cee7b1f4ab13e249edea,src.main.json.com.fasterxml.jackson.databind.type.TypeFactory.json,774,67,838,64,0,0,72,5,0,0,824,50,13,14,71,4,1,1,827,53,11,11,71,4,1,1
https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba,platform.lang-impl.src.com.intellij.ide.util.gotoByName.ChooseByNameBase.json,1579,204,1692,113,0,0,215,11,0,0,1686,107,12,6,215,11,0,0,1689,110,2,3,215,11,0,0
https://github.com/liferay/liferay-plugins/commit/720b0d2064ecc4403809e794075e9fe8cfa857f1,portlets.calendar-portlet.docroot.WEB-INF.src.com.liferay.calendar.portlet.CalendarPortlet.json,701,36,713,12,0,0,38,2,0,0,711,10,0,2,38,2,0,0,713,12,0,0,38,2,0,0
https://github.com/liferay/liferay-plugins/commit/720b0d2064ecc4403809e794075e9fe8cfa857f1,portlets.calendar-portlet.docroot.WEB-INF.src.com.liferay.calendar.service.impl.CalendarBookingLocalServiceImpl.json,680,40,844,164,0,0,44,4,0,0,834,154,8,10,43,3,1,1,836,156,8,8,43,3,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc,core.json.com.android.internal.widget.LockPatternView.json,940,140,984,44,0,0,145,5,0,0,973,33,9,11,144,4,1,1,974,34,9,10,144,4,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc,core.json.com.android.internal.widget.LockPatternUtils.json,1455,184,1470,15,0,0,186,2,0,0,1463,8,11,7,185,1,1,1,1465,10,5,5,185,1,1,1
https://github.com/jayway/rest-assured/commit/7cac88b9a28efc05bdc60e585e3291862ffc9da1,examples.rest-assured-itest-java.src.test.json.com.jayway.restassured.itest.json.SpecificationBuilderITest.json,270,28,272,2,0,0,29,1,0,0,270,0,0,2,29,1,0,0,272,2,0,0,29,1,0,0
